SBS1	SBS2	SBS5	SBS6	SBS7a	SBS7b	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS19	SBS20	SBS21	SBS23	SBS24	SBS25	SBS26	SBS28	SBS30	SBS31	SBS32	SBS33	SBS37	SBS38	SBS39	SBS40	SBS42	SBS43	SBS44	SBS45	SBS46	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS91	SBS92	SBS93	virus	type
Human_alphaherpesvirus_1_96N24-S11	0.0660980810234542	0	0.321961620469083	0	0	0	0	0	0	0	0.110874200426439	0	0	0	0.29637526652452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767590618336887	0	0	0	0	0.127931769722815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N24-S11
Human_alphaherpesvirus_1_96N25-S2	0	0	0.35781990521327	0	0	0	0	0	0	0	0	0	0	0	0.241706161137441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194312796208531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206161137440758	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N25-S2
Human_alphaherpesvirus_1_96N25-S7	0.216	0	0.277333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N25-S7
Human_alphaherpesvirus_1_96N26-N27	0.0647482014388489	0	0.546762589928058	0	0	0	0	0	0	0	0	0	0	0	0.388489208633094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N26-N27
Human_alphaherpesvirus_1_96N26-S1	0.126195028680688	0	0.239005736137667	0	0	0	0	0	0	0	0	0.105162523900574	0	0	0.273422562141491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256214149139579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N26-S1
Human_alphaherpesvirus_1_96N27-S3	0.0473537604456825	0	0.337047353760446	0	0	0	0	0	0	0	0.186629526462396	0	0	0	0.253481894150418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175487465181058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N27-S3
Human_alphaherpesvirus_1_96N27-S4	0.0483333333333333	0	0.238333333333333	0	0	0	0	0	0	0	0	0	0	0	0.213333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273333333333333	0	0	0.226666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N27-S4
Human_alphaherpesvirus_1_96N28-N29	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N28-N29
Human_alphaherpesvirus_1_96N28-S5	0.0303571428571429	0	0.283928571428571	0	0	0	0	0	0	0	0.0875	0	0	0	0.210714285714286	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0.0839285714285714	0	0	0	0	0	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N28-S5
Human_alphaherpesvirus_1_96N29-S12	0.0480225988700565	0	0.548022598870056	0	0	0	0	0	0	0	0	0	0	0	0.403954802259887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N29-S12
Human_alphaherpesvirus_1_96N29-S13	0.0441176470588235	0	0.514705882352941	0	0	0	0	0	0	0	0.147058823529412	0	0	0	0.294117647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N29-S13
Human_alphaherpesvirus_1_96N3-N2	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N3-N2
Human_alphaherpesvirus_1_96N3-S6	0.0623781676413255	0	0.327485380116959	0	0	0	0	0	0	0	0.101364522417154	0	0	0	0.307992202729045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124756335282651	0	0	0	0	0.0760233918128655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N3-S6
Human_alphaherpesvirus_1_96N4-N19	0.161290322580645	0	0.483870967741935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354838709677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N4-N19
Human_alphaherpesvirus_1_96N4-N3	0.258064516129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516129032258065	0.225806451612903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N4-N3
Human_alphaherpesvirus_1_96N5-N4	0	0	0.373493975903614	0	0	0	0	0	0	0	0	0	0	0	0.301204819277108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108433734939759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216867469879518	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N5-N4
Human_alphaherpesvirus_1_96N6-N5	0.119047619047619	0	0.054421768707483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231292517006803	0	0	0	0	0.282312925170068	0	0	0	0.312925170068027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N6-N5
Human_alphaherpesvirus_1_96N6-S28	0	0	0.155763239875389	0	0	0	0	0	0	0	0.115264797507788	0	0	0	0.274143302180685	0	0	0	0	0	0	0	0	0	0	0	0.121495327102804	0	0	0	0	0	0	0	0	0.127725856697819	0	0	0	0	0.0809968847352025	0	0	0	0	0.124610591900312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N6-S28
Human_alphaherpesvirus_1_96N7-N6	0.0282485875706215	0	0.274011299435028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141242937853107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172316384180791	0.163841807909605	0	0	0	0	0	0	0	0	0	0.220338983050847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N7-N6
Human_alphaherpesvirus_1_96N7-N8	0	0	0.145454545454545	0	0	0	0	0	0	0	0.260606060606061	0	0	0	0.351515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242424242424242	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N7-N8
Human_alphaherpesvirus_1_96N8-N11	0	0	0.234042553191489	0	0	0	0	0	0	0	0.148936170212766	0	0	0	0.404255319148936	0	0	0	0	0.212765957446809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N8-N11
Human_alphaherpesvirus_1_96N8-N9	0	0	0.32972972972973	0	0	0	0	0	0	0	0	0	0	0	0.210810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172972972972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286486486486487	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N8-N9
Human_alphaherpesvirus_2_96N1-N21	0.0375	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0.3875	0	0	0	0	0	0	0	0	0	0	0	0	0.2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N1-N21
Human_alphaherpesvirus_2_96N1-N36	0.0945945945945946	0	0.189189189189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378378378378378	0	0	0	0	0	0	0	0	0	0.337837837837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N1-N36
Human_alphaherpesvirus_2_96N10-KY922725.1	0.0653061224489796	0	0.206122448979592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330612244897959	0	0	0	0	0.208163265306122	0	0	0	0	0	0	0	0.189795918367347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N10-KY922725.1
Human_alphaherpesvirus_2_96N15-N161	0.0512820512820513	0	0.282051282051282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128205128205128	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0.205128205128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N15-N161
Human_alphaherpesvirus_2_96N15-N29	0.0552147239263804	0	0.361963190184049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.582822085889571	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N15-N29
Human_alphaherpesvirus_2_96N16-N172	0.0707070707070707	0	0.434343434343434	0	0	0	0	0	0	0	0.131313131313131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0.141414141414141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_2_96	Human_alphaherpesvirus_2_96N16-N172
